grupo;Z-score Geral;Z-score_Icms;Z-score_Empresas;Z-score_Empregos;_QuocienteLocacional;_EmpresasRS;;;;
FABRICAÇÃO DE ARTIGOS DE CUTELARIA; DE SERRALHERIA E FERRAMENTAS;1.920.242.674.102.890;0.5777462135058237;12.223.197.306.889.500;3.345.425.966.531.840;1.292.560.837.927.510;6592;;;
FABRICAÇÃO DE PRODUTOS DE MADEIRA; CORTIÇA E MATERIAL TRANÇADO; EXCETO MÓVEIS;18.846.963.977.755.900;0.4686848257953284;9.503.442.976.778.540;17.467.382.524.110.200;17.944.398.976.702.200;5127;;
ATIVIDADES DE PROFISSIONAIS DA ÁREA DE SAÚDE; EXCETO MÉDICOS E ODONTÓLOGOS;1.871.482.435.431.490;-0.1848217644546374;17.161.454.315.828.300;7.827.119.975.648.120;10.459.832.950.543.900;9252;;;
COMÉRCIO VAREJISTA DE COMBUSTÍVEIS PARA VEÍCULOS AUTOMOTORES;18.251.355.153.957.600;0.18921702452721179;9.431.039.960.482.070;6.137.329.263.292.950;12.824.783.098.038.800;5088;;;;
ATIVIDADES IMOBILIÁRIAS DE IMÓVEIS PRÓPRIOS;1.757.307.190.335.380;-0.18504455050598517;1.593.802.898.917.770;5.019.171.257.641.250;10.722.567.542.225.300;8593;;;;
COMÉRCIO ATACADISTA ESPECIALIZADO EM OUTROS PRODUTOS;16.850.049.636.924.100;5.547.126.499.950.670;9.050.460.003.026.260;3.798.600.701.715.960;1.380.784.654.153.990;4883;;;;
ATIVIDADES PROFISSIONAIS; CIENTÍFICAS E TÉCNICAS NÃO ESPECIFICADAS ANTERIORMENTE;1.663.316.812.312.060;-0.18103549595852023;12.791.282.511.677.200;11.695.367.475.975.700;12.103.348.441.397.900;6898;;;
ATIVIDADES DE CONSULTORIA EM GESTÃO EMPRESARIAL;16.392.105.598.261.500;-0.18087816059779682;14.696.038.786.553.600;6.643.228.083.731.710;1.071.436.380.554.120;7924;;;;
ATIVIDADES DE APOIO À AGRICULTURA E À PECUÁRIA;;;;;;;;;;
COMÉRCIO ATACADISTA DE MATÉRIAS-PRIMAS AGRÍCOLAS E ANIMAIS VIVOS;15.584.216.877.113.100;1.191.295.074.199.690;53.300.588.579.460.600;2.948.410.205.707.860;2.348.318.751.738.620;2879;;;;
FABRICAÇÃO DE TRATORES E DE MÁQUINAS E EQUIPAMENTOS PARA A AGRICULTURA E PECUÁRIA;1.523.555.719.015.930;31.553.158.438.135.300;15.279.722.585.826.700;7.056.688.534.671.260;5.146.256.436.881.020;831;;;;
